,id,title,department,location,date_added,link
0,jotTitle_PIPE-114438037,DE-Operations Expert (m/f/d),Sales and Business Development,Various Locations within  Germany ,"Nov 18, 2022",https://jobs.apple.com/en-us/details/114438037/de-operations-expert-m-f-d?team=SLDEV
1,jotTitle_PIPE-200443186,Analog IC Product Engineer (m/f/d),Hardware,Munich,"Nov 17, 2022",https://jobs.apple.com/en-us/details/200443186/analog-ic-product-engineer-m-f-d?team=HRDWR
2,jotTitle_PIPE-200443185,Analog IC Product Engineer (m/f/d),Hardware,Nabern,"Nov 17, 2022",https://jobs.apple.com/en-us/details/200443185/analog-ic-product-engineer-m-f-d?team=HRDWR
3,jotTitle_PIPE-200442718,RF Test Development Engineer - ATE (Early Careers) - (m/f/d),Hardware,Munich,"Nov 16, 2022",https://jobs.apple.com/en-us/details/200442718/rf-test-development-engineer-ate-early-careers-m-f-d?team=HRDWR
4,jotTitle_PIPE-200433766,Formal Verification Technical Lead,Hardware,Munich,"Nov 16, 2022",https://jobs.apple.com/en-us/details/200433766/formal-verification-technical-lead?team=HRDWR
5,jotTitle_PIPE-200443207,Analog/Mixed signal Engineering Program Manager (m/f/d),Hardware,Munich,"Nov 15, 2022",https://jobs.apple.com/en-us/details/200443207/analog-mixed-signal-engineering-program-manager-m-f-d?team=HRDWR
6,jotTitle_PIPE-200442778,CAD Analog/ RF Simulation Expert (m/f/d),Hardware,Munich,"Nov 15, 2022",https://jobs.apple.com/en-us/details/200442778/cad-analog-rf-simulation-expert-m-f-d?team=HRDWR
7,jotTitle_PIPE-200427796,Mixed-Signal Test Development Engineer - ATE - (m/f/d),Hardware,Munich,"Nov 15, 2022",https://jobs.apple.com/en-us/details/200427796/mixed-signal-test-development-engineer-ate-m-f-d?team=HRDWR
8,jotTitle_PIPE-200436589,Digital/Mixed-Signal Design and Verification Engineer (m/f/d),Hardware,Munich,"Nov 14, 2022",https://jobs.apple.com/en-us/details/200436589/digital-mixed-signal-design-and-verification-engineer-m-f-d?team=HRDWR
9,jotTitle_REQ-200442076,HWE - Automation Development Internship - FDE,Software and Services,Munich,"Nov 14, 2022",https://jobs.apple.com/en-us/details/200442076/hwe-automation-development-internship-fde?team=SFTWR
10,jotTitle_PIPE-200304429,RF/Mixed-Signal Test Development Engineer - ATE - (m/f/d),Hardware,Munich,"Nov 11, 2022",https://jobs.apple.com/en-us/details/200304429/rf-mixed-signal-test-development-engineer-ate-m-f-d?team=HRDWR
11,jotTitle_PIPE-200298815,Product Engineer (m/f/d),Hardware,Munich,"Nov 11, 2022",https://jobs.apple.com/en-us/details/200298815/product-engineer-m-f-d?team=HRDWR
12,jotTitle_PIPE-200222334,Embedded 5G/4G Cellular Physical Layer Firmware Engineer (m/f/d),Hardware,Munich,"Nov 10, 2022",https://jobs.apple.com/en-us/details/200222334/embedded-5g-4g-cellular-physical-layer-firmware-engineer-m-f-d?team=HRDWR
13,jotTitle_PIPE-200442963,Senior Data Engineer for Computer Vision (m/f/d),Hardware,Munich,"Nov 10, 2022",https://jobs.apple.com/en-us/details/200442963/senior-data-engineer-for-computer-vision-m-f-d?team=HRDWR
14,jotTitle_PIPE-200422021,CAD Connected Flow Intern / Working Student,Hardware,Munich,"Nov 9, 2022",https://jobs.apple.com/en-us/details/200422021/cad-connected-flow-intern-working-student?team=HRDWR
15,jotTitle_PIPE-200442477,AMS Design Verification Intern - Debugging Methodology for FPGA based Co-emulation (m/f/d),Hardware,Munich,"Nov 9, 2022",https://jobs.apple.com/en-us/details/200442477/ams-design-verification-intern-debugging-methodology-for-fpga-based-co-emulation-m-f-d?team=HRDWR
16,jotTitle_PIPE-200420489,AR/VR UI Frameworks Engineer,Software and Services,Munich,"Nov 8, 2022",https://jobs.apple.com/en-us/details/200420489/ar-vr-ui-frameworks-engineer?team=SFTWR
17,jotTitle_PIPE-200425295,Software QA,Operations and Supply Chain,Munich,"Nov 8, 2022",https://jobs.apple.com/en-us/details/200425295/software-qa?team=OPMFG
18,jotTitle_PIPE-200224478,Cellular 5G/4G Layer1 Control Firmware Engineer (m/f/d),Hardware,Munich,"Nov 7, 2022",https://jobs.apple.com/en-us/details/200224478/cellular-5g-4g-layer1-control-firmware-engineer-m-f-d?team=HRDWR
19,jotTitle_PIPE-200442073,L1 / PHY Control Systems Engineer (m/f/d),Hardware,Munich,"Nov 7, 2022",https://jobs.apple.com/en-us/details/200442073/l1-phy-control-systems-engineer-m-f-d?team=HRDWR
20,jotTitle_REQ-200435080,Cellular Systems Performance Analysis Engineer - Wireless Technology Ecosystems,Machine Learning and AI,Munich,"Nov 4, 2022",https://jobs.apple.com/en-us/details/200435080/cellular-systems-performance-analysis-engineer-wireless-technology-ecosystems?team=MLAI
21,jotTitle_PIPE-200400823,RF Cellular Transceiver SoC / Silicon Validation Engineer (m/f/d),Hardware,Munich,"Nov 3, 2022",https://jobs.apple.com/en-us/details/200400823/rf-cellular-transceiver-soc-silicon-validation-engineer-m-f-d?team=HRDWR
22,jotTitle_REQ-200437476,"Software Intern, Hardware Tech",Hardware,Munich,"Nov 3, 2022",https://jobs.apple.com/en-us/details/200437476/software-intern-hardware-tech?team=HRDWR
23,jotTitle_PIPE-200441371,System Engineering Internship - Physical Layer / Cellular Modem  (m/f/d),Hardware,Munich,"Nov 2, 2022",https://jobs.apple.com/en-us/details/200441371/system-engineering-internship-physical-layer-cellular-modem-m-f-d?team=HRDWR
24,jotTitle_PIPE-200441335,Cellular PHY Systems Engineer (m/f/d),Hardware,Munich,"Nov 2, 2022",https://jobs.apple.com/en-us/details/200441335/cellular-phy-systems-engineer-m-f-d?team=HRDWR
25,jotTitle_PIPE-200440989,PHY Systems Engineer Simulations (m/f/d),Hardware,Munich,"Nov 2, 2022",https://jobs.apple.com/en-us/details/200440989/phy-systems-engineer-simulations-m-f-d?team=HRDWR
26,jotTitle_PIPE-200440990,Cellular Systems Engineer – Data Plane Simulation (m/f/d),Hardware,Munich,"Nov 1, 2022",https://jobs.apple.com/en-us/details/200440990/cellular-systems-engineer-data-plane-simulation-m-f-d?team=HRDWR
